ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250107,20033,123724,크라운)산도밤티라미수161g,192
20250107,20034,123723,크라운)헬로키티스트로베리콘60g,"5,376"
20250107,20034,123724,크라운)산도밤티라미수161g,"1,008"
20250107,20049,123723,크라운)헬로키티스트로베리콘60g,"2,784"
20250107,20049,123724,크라운)산도밤티라미수161g,528
20250107,20050,123723,크라운)헬로키티스트로베리콘60g,"4,032"
20250107,20050,123724,크라운)산도밤티라미수161g,756
20250107,20065,123723,크라운)헬로키티스트로베리콘60g,"2,496"
20250107,20065,123724,크라운)산도밤티라미수161g,468
20250107,20075,123723,크라운)헬로키티스트로베리콘60g,"3,504"
20250107,20075,123724,크라운)산도밤티라미수161g,660
20250107,20079,123723,크라운)헬로키티스트로베리콘60g,"3,216"
20250107,20079,123724,크라운)산도밤티라미수161g,612
20250107,20080,123723,크라운)헬로키티스트로베리콘60g,"3,104"
20250107,20080,123724,크라운)산도밤티라미수161g,588
20250107,20081,123723,크라운)헬로키티스트로베리콘60g,"3,360"
20250107,20081,123724,크라운)산도밤티라미수161g,636
20250107,20083,123723,크라운)헬로키티스트로베리콘60g,"2,192"
20250107,20083,123724,크라운)산도밤티라미수161g,420
20250107,20084,123723,크라운)헬로키티스트로베리콘60g,"1,936"
20250107,20084,123724,크라운)산도밤티라미수161g,372
20250107,20085,123723,크라운)헬로키티스트로베리콘60g,"4,080"
20250107,20085,123724,크라운)산도밤티라미수161g,768
20250107,20091,123723,크라운)헬로키티스트로베리콘60g,"3,600"
20250107,20091,123724,크라운)산도밤티라미수161g,684
20250108,20006,123549,해태)오사쯔빠스50g,"4,480"
20250108,20006,123551,엔제이)마키노나쵸칩치즈50g,252
20250108,20006,123558,농심)츄파춥스오션믹스젤리60g,"3,200"
20250108,20007,123549,해태)오사쯔빠스50g,"4,000"
20250108,20007,123551,엔제이)마키노나쵸칩치즈50g,180
20250108,20007,123555,SAMG)위시캣발바닥모양캔디42g,800
20250108,20007,123558,농심)츄파춥스오션믹스젤리60g,"4,000"
20250108,20010,123549,해태)오사쯔빠스50g,"1,280"
